user,arn,user_creation_time,password_enabled,password_last_used,password_last_changed,password_next_rotation,mfa_active,access_key_1_active,access_key_1_last_rotated,access_key_1_last_used_date,access_key_1_last_used_region,access_key_1_last_used_service,access_key_2_active,access_key_2_last_rotated,access_key_2_last_used_date,access_key_2_last_used_region,access_key_2_last_used_service,cert_1_active,cert_1_last_rotated,cert_2_active,cert_2_last_rotated
<root_account>,arn:aws:iam::226340078480:root,2015-09-10T03:02:43Z,true,2025-10-22T08:27:28Z,2021-06-16T08:30:23Z,not_supported,true,true,2015-09-11T00:52:58Z,2018-04-03T09:31:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
adjust-backup,arn:aws:iam::226340078480:user/adjust-backup,2018-08-22T08:30:03Z,false,N/A,N/A,N/A,false,true,2018-08-22T08:30:03Z,2020-08-06T09:02:00Z,us-east-1,s3,true,2020-08-06T09:39:02Z,2022-11-03T12:01:00Z,us-east-1,s3,false,N/A,false,N/A
admincli,arn:aws:iam::226340078480:user/admincli,2016-12-20T02:17:10Z,false,N/A,N/A,N/A,false,true,2016-12-20T02:17:11Z,2020-11-19T01:58:00Z,ap-northeast-2,cloudformation,true,2020-02-14T02:57:45Z,2021-08-03T22:32:00Z,ap-northeast-2,s3,false,N/A,false,N/A
agora-glam-live-streaming,arn:aws:iam::226340078480:user/agora-glam-live-streaming,2022-02-24T05:45:05Z,false,N/A,N/A,N/A,false,true,2022-02-24T05:45:05Z,2022-12-05T17:22:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
alex,arn:aws:iam::226340078480:user/alex,2025-09-22T02:15:24Z,true,2025-12-10T02:21:23Z,2025-09-22T03:19:40Z,N/A,true,true,2025-11-25T11:09:49Z,2025-12-10T03:40:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
alphaz-prod,arn:aws:iam::226340078480:user/alphaz-prod,2023-06-02T07:19:21Z,false,N/A,N/A,N/A,false,true,2023-06-02T07:20:02Z,2025-12-10T05:38:00Z,ap-northeast-2,es,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
amplify-liveness-enpfy,arn:aws:iam::226340078480:user/amplify-liveness-enpfy,2023-11-09T11:00:00Z,false,N/A,N/A,N/A,false,true,2023-11-09T11:00:25Z,2023-11-14T07:26:00Z,ap-northeast-1,cloudformation,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
amplify-prod,arn:aws:iam::226340078480:user/amplify-prod,2023-11-14T08:08:43Z,false,N/A,N/A,N/A,false,true,2023-11-14T08:09:05Z,2025-12-10T05:49:00Z,ap-northeast-1,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
apollo-prod,arn:aws:iam::226340078480:user/apollo-prod,2022-09-07T12:40:40Z,false,N/A,N/A,N/A,false,true,2022-09-07T12:40:41Z,2025-12-10T05:39:00Z,ap-northeast-2,rekognition,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ares-prod,arn:aws:iam::226340078480:user/ares-prod,2022-04-06T03:42:54Z,false,N/A,N/A,N/A,false,true,2022-04-06T03:42:56Z,2022-06-27T04:08:00Z,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
argos-prod,arn:aws:iam::226340078480:user/argos-prod,2022-09-14T08:46:54Z,false,N/A,N/A,N/A,false,true,2022-09-14T08:46:56Z,2025-12-08T03:46:00Z,ap-northeast-2,codedeploy,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
artemis-prod,arn:aws:iam::226340078480:user/artemis-prod,2021-10-05T03:29:14Z,false,N/A,N/A,N/A,false,true,2021-10-05T03:29:16Z,2025-08-27T05:38:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
aws-rekognition-full,arn:aws:iam::226340078480:user/aws-rekognition-full,2024-07-16T17:37:30Z,false,N/A,N/A,N/A,false,true,2024-07-16T17:38:17Z,2024-12-19T04:42:00Z,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ben,arn:aws:iam::226340078480:user/ben,2018-01-02T07:38:56Z,true,2023-04-21T02:06:25Z,2018-01-02T07:40:52Z,N/A,true,true,2018-01-02T07:38:58Z,2018-09-13T09:03:00Z,us-east-1,mobilehub,true,2020-03-27T03:58:16Z,2022-05-17T11:00:00Z,ap-northeast-2,glue,false,N/A,false,N/A
